idx,question,answer,final_decision,final_indicators
,"""המעוין הוא דלתון מיוחד"". האם טענה זו נכונה? נמקו את קביעתכם.",כן כי האלכסונים שלו מאונכים זה לזה,2,"2.01, 2.06, 2.07, 2.08, 2.14"
,"נגדיר: ""ישר"" על פני כדור הוא מעגל שמרכזו במרכז הכדור. כמה ""ישרים"" עוברים דרך כל שתי נקודות על פני הכדור? הסבירו.","בין כל שתי נקודות על הכדור עוברים אינסוף מעגלים ""ישרים"" 
דוגמא: המעגל הראשון הקוטר שלו הוא הקו בין הנקודה הראשונה לנקודה השנייה 
המעגל השני הקו בין הנקודה הראשונה לנקודה השנייה הוא מיתר ולא קוטר וכך דומה 
",3,3.22
,"במערכת גיאומטרית חדשה אנו מגדירים את היחסים בין נקודות כך:
1. דרך שתי נקודות עוברים אינסוף קווים.
2. קו מוגדר כמעגל שנסגר על עצמו.
האם מערכת זו עקבית (כלומר, ללא סתירה פנימית בהגדרות)? נמק את תשובתך.
","הקווים הם המעגלים שעוברים אינסוף פעמים... 
אני מדמיינת כדור שהנקודה הגבוה והנמוכה בו עוברים דרכם אינסוף קווים המוגדרים כמעגלים...",5,"5.02, 5.12"
,"נתונים של משולשים ABC ו-A'B'C' כמתואר בציור. האם על פי הנתונים, ניתן לקבוע אם המשולשים חופפים ביניהם? אם כן, הוכיחו. אם לא- נמקו מדוע.","יש להם שתי צלעות השוות בגודלן: 'AC=C'A' AB=C'B
 והזווית שביניהן גם שווה..
על פי צ.ז.צ",3,3.10
,"""שתי הצורות הנתונות הן מקביליות לאורך כל גרירה"".
האם הטענה נכונה? הסבירו.","כן הטענה נכונה, ניתן לראות שאחרי כל פעולת גרירה מקבלים שכל שתי צלעות מקבילות שוות זה לזה",3,3.04
,"הורדת שני גבהים מקדקדי הבסיס הקצר של הטרפז. נוצרים שני משולשים ישרי זווית ומלבן (כי יש לו שני זוגות של צלעות מקבילות + זווית ישרה). חופפים את שני המשולשים ישרי הזווית לפי משפטי חפיפה של משולשים ישרי זווית (שני משולשים ישרי זווית השווים בניצב וביתר, חופפים ביניהם). לכן זויות הבסיס שוות, כזוויות מתאימות במשולשים חופפים.","הורדת שני גבהים לטרפס נוצר שני מושלשים ישר זווית שבהם היתר והניצב (הגבהים) שווים בהתאם לכל משולש, אז המשולשים חופפים ויצא מכך שזוויות השוקיים ישרות",4,"4.05, 4.06, 4.08"
,"""שתי הצורות הנתונות הן מקביליות לאורך כל גרירה"".
האם הטענה נכונה? הסבירו.","כן, גררתי וראיתי שהן מקביליות",1,1.08
,"""גוף יכול להיות גם פאון וגם קוביה בו זמנית"". האם טענה זו נכונה? נמק את דעתך.","הגוף יכוך להיות פאון אבל לא תמיד יהיה קוביה באותו זמנית אז הטענה היא לא נכונה 
למשל בקבוק הוא פאון אבל לא קוביה ",3,3.07
,הוכיחו שזוויות הבסיס של טרפז שווה שוקיים שוות זו לזו.,"ABCD הוא טרפז שווה שוקיים
AD ו BC מקבילים זה לזה
נעביר גובהים משני הקודקודים העליונים אל הבסיס התחתון
נקרא לנקודות החיתוך של הגובהים עם הבסיס P ו Q
נוצרים שני משולשים ישרי זווית
נוכיח כי המשולשים APB ו DQC:
AP =DQ כי הם גובהים בכל משולש.
BP = CQ 
זוויות P = Q = 90
לכן המשולשים חופפים לפי צ.ז.צ
נקבל ש זוויות B = C
לכן זוויות הבסיס של טרפז שווה שוקיים שוות זו לזו.",4,"4.05, 4.06"
,"לפניך מוצגים שני אלכסונים של מרובע, אך הצורה עצמה מוסתרת.
באמצעות גרירת הקודקודים, בחן את התנהגות האלכסונים וענה על השאלות הבאות:
האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך?
אם אינך יכול לקבוע את סוג המרובע באופן חד-משמעי, פרט אילו נתונים נוספים נדרשים כדי לזהות את הצורה במדויק?",המרובע מקבילית,1,1.04
,כתבו 2 תכונות שמשותפת לכל הריבועים אך לא משותפת לכל המעויינים. נמקו את בחירתכם.,"כל שתי צלעות שנפגשות יוצרות ביניהן זווית 90. לא כל המעויינים יש להם זוויות 90
יש שתי זוגות של צלעות מקביליות. במעוין לא הכרחי להיות זוגות של צלעות שוות",2,"2.01, 2.02, 2.06, 2.08, 2.11"
,"""גוף יכול להיות גם מנסרה וגם תיבה בו זמנית"". האם טענה זו נכונה? נמק את דעתך.",כן כי תיבה היא גם מנסרה,3,"3.02, 3.03, 3.07, 3.18, 3.21"
,הוכיחו שאם במרובע האלכסונים חוצים זה את זה אז המרובע הוא מקבילית.,"נרשום קטע בין D ו C 
נרשום קטע בין A ו B 
נסתכל על המשולש AEB והמשולש DEC 
הזווית AEB שווה לזווית DEC הסבר: מקבילות בראש 
הצלע AE שווה לצלע EC נתון בשאלה 
הצלע DE שווה לצלע EB נתון בשאלה 
ולכן על פי (צלע, זווית, צלע) שני המשולשים חופפים 
ולכן מתקיים הזווית DCA שווה לזווית BAC 
וגם מתקיים הזווית CDE שווה לזווית ABE
ולכן הזוויות שוות מתחלפות אם ורק אם AB מקביל DC 
------
אותו רעיון להוכיח המשולש ECB והמשולש DEA
",4,"4.05, 4.06, 4.08"
,"נגדיר: ""ישר"" על פני כדור הוא מעגל שמרכזו במרכז הכדור. כמה ""ישרים"" עוברים דרך כל שתי נקודות על פני הכדור? הסבירו. ",יש אינסוף ישרים כי לבין מרכז המעגל ופני הכדור יש מלא נקודות,2,2.01
,כתבו 2 תכונות שמשותפת לכל הריבועים אך לא משותפת לכל המעויינים. נמקו את בחירתכם.,"כל הזוויות ישירות (90)
שני האלכסונים שווים
",3,3.06
,"האם אפשר לגרור את קודקודי הצורות כך שכל צורה תהיה ריבוע? אם כן גררו אותם, והסבירו מה חיפשתם בכל צורה כדי להגיע לריבוע. אם לא, הסבירו למה.","לא, לאחרי הגרירה הצורות מראות מעויין ולא ריבוע, מכיוון שבריבוע חייבות להיות זוויות ישרות. כדי להפוך את הצורה לריבוע, יש לוודא שכל הזוויות יהיו שוות (90)",2,"2.01, 2.07, 2.08"
,"במערכת גיאומטרית חדשה אנו מגדירים את היחסים בין נקודות כך:
1. דרך שתי נקודות עוברים אינסוף קווים.
2. קו מוגדר כמעגל שנסגר על עצמו.
האם מערכת זו עקבית (כלומר, ללא סתירה פנימית בהגדרות)? נמק את תשובתך.
",ברמה הבסיסית כן כי דרך שתי נקודות עוברים אינסוף מעגלים,5,"5.02, 5.12"
,"לפניך מוצגים שני אלכסונים של מרובע, אך הצורה עצמה מוסתרת.
באמצעות גרירת הקודקודים, בחן את התנהגות האלכסונים וענה על השאלות הבאות:
האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך? הוכח את טענתך.
אם אינך יכול לקבוע את סוג המרובע באופן חד-משמעי, פרט אילו נתונים נוספים נדרשים כדי לזהות את הצורה במדויק?
",הצורה היוצרת היא מקבילית כי כפי מה רואים בשרטוט האלכסונים חוצים זה את זה,3,3.04
,אילו תכונות משותפות למלבן וריבוע?,"זוגות של צלעות מקביליות ושוות 
זוויות פנימיות שוות 90
האלכסונים חותכים אחד את השני ויוצרים חלקים שווים",2,"2.01, 2.02, 2.11"
,"האם אפשר לגרור את קודקודי הצורות כך שכל צורה תהיה ריבוע? אם כן גררו אותם, והסבירו מה חיפשתם בכל צורה כדי להגיע לריבוע. אם לא, הסבירו למה.","כן אפשר, גררתי את הצורות וקבלתי ריבוע.",1,1.08
,הוכיחו כי במלבן האלכסונים שווים זה לזה,"המשולשים במלבן שיוצרים שני אלכסונים שונים הם חופפים לפי צלע זווית צלע ,  הזוית היא הזוית הישרה יש להם צלע משותפת וצלע נוספת שווה לפי הגדרת המלבן ",4,"4.06, 4.08"
,האם ניתן לקבוע סוג המשולש על סמך 2 או 3 קטעים? נמקו.,"כן, תלוי היכן והאם הם נפגשים (בתוך המשולש, בקדקוד שלו, או בכלל לא)",3,"3.02, 3.10"
,האם ניתן לקבוע סוג המשולש על סמך 2 או 3 קטעים? נמקו.,"כן אפשר לקבוע על פי 2 קטעים או 3 קטעים, אם נפגשים בקצה משולש ישר זווית אם לא נפגשים משולש קהה זווית אם נפגשים משולש חד זוויות",3,"3.02, 3.03, 3.06"
,"בגיאומטריה אחרת, השונה מהגיאומטריה האוקלידית, מישור פרויקטיבי הוא מישור המקיים את 5 האקסיומות הבאות:
1. יש לפחות ישר אחד.
2. דרך כל שתי נקודות שונות עובר ישר יחיד.
3. כל שני ישרים נחתכים לפחות בנקודה אחת.
4. על כל ישר יש לפחות 3 נקודות שונות.
5. אין ישר אשר כל נקודות נמצאות עליו.


האם בגיאומטריה הזו סכום הזוויות במשולש הוא 180°? נמקו את תשובתכם.
","כן 
 יש לפחות ישר אחד. 2. דרך כל שתי נקודות שונות עובר ישר יחיד. 3. כל שני ישרים נחתכים לפחות בנקודה אחת. ",1,1.04
,הוכיחו שאלכסוני הדלתון ניצבים זה לזה.,"נוכיח כי המשולשים AOD ו AOB חופפים:
הצלעים AB = AD (צלעות סמוכות בדלתון)
צלע AO הוא משותף לשני המשולשים
זווית: הזווית BAO = DAO
המשולשים AOD ו AOB חופפים לפי צ.ז.צ.
נקבל ש BOA = DOA וגם BO = DO
נסתכל על משולש ABD הוא משולש שווה שוקיים ו AO הוא חוצה את צלע BD במשולש לכן זווית BOA = DOA = 90
לכן אלכסוני הדלתון ניצבים זה לזה",4,"4.05, 4.06, 4.08"
,כתבו לפחות 3 תכונות שקיימות במעויין.,"המעויין הוא ריבוע - שבו כל הצלעות שוות 
גם כן האלכסוניםמאונכים
האלכסונים גם חוצים אחד השני לשני קטעים שווים ",2,"2.01, 2.06, 2.08"
,המעוין הוא דלתון מיוחד. האם טענה זו נכונה? נמקו את קביעתכם.,לא יודעת איך להסביר את זה,1,1.04
,"גאומטריה ספֵירִית היא סוג של גאומטריה לא אוקלידית, העוסקת בתכונות של ישרים על ספירה, כלומר מעטפת של כדור. בגאומטריה הספירית הקווים הישרים הם ""מעגלים גדולים"" - כאלה שרדיוסם שווה לרדיוס הכדור.
האם בגיאומטריה הזו סכום הזוויות במשולש הוא 180°? נמקו את תשובתכם.",לא כי המשלולש בגיומטריה החדשה הוא 3 מעגלים,5,"5.02, 5.12"
,הוכיחו שזוויות הבסיס של טרפז שווה שוקיים שוות זו לזו.,"אני יכולה להוכיח זאת על ידי הורדת גובהים מAD לCB 
כך שיווצרו משולשים שאותם שעל פי שתי צלעות שוות וזווית שווה אני יכולה להוכיח דמיון כך שהזוויות שוות...",4,4.06
,הוכיחו שאם במרובע האלכסונים חוצים זה את זה אז המרובע הוא מקבילית.,"כן, יש לנו שני זוגות של משולשים מנוגדים חופפים, נקבל זוויות זוויות חלופיות, נקבל שכל שני צלעות מנוגדים שווים ו מקבילים----> מרובע הוא מקבילית",4,"4.05, 4.06"
,"""גוף יכול להיות גם פאון וגם קוביה בו זמנית"". האם טענה זו נכונה? נמק את דעתך.",כן כי כל קוביה היא גם פאון,3,"3.02, 3.18"
,האם ניתן לקבוע סוג המשולש על סמך 2 או 3 קטעים? נמקו.,כי כי אם הם נחתכים בפנים אז חד זווית ואם בקדקוד אז ישר זווית ואם לא בכלל אז קהה זווית,3,"3.02, 3.03, 3.06, 3.10"
,מהן תכונותיו של המלבן? מנו תכונות רבות ככל האפשר.,"כל שתי צלעות מקבילות (צלע והצלע שממולה )
כל שתי צלעות מקבילות ושוות 
כל זווית במלבן שווה ל 90 
האלכסונים חוצים זה את זה ומאונכים",2,"2.01, 2.02, 2.06, 2.08"
,,ריבוע שאלכסוניו יושבים על הצירים האלכסונים נפגשים בראשית ואורכם 2C,5,"5.02, 5.12"
,אילו תכונות יש למשולש שווה שוקיים.,למשולש זה 2 צלעות שוות. חוצה הזווית שבין בצלעות השוות הוא גם אנך וגם תיכון. חוצה הצלעות השוות הוא מקביל לצלע שמולו ושווה לחצי.,2,"2.01, 2.06, 2.08"
,"משולש ABC הוא ישר זווית (זווית B ישרה). הנקודה M היא אמצע הצלע AC, והנקודה D נמצאת על הצלע AB. הנקודות B,C,M,D נמצאות על מעגל שמרכזו N. הוכיחו: אורך הקטע AD שווה לקוטר המעגל. ","DC הוא קוטר , כי הזווית ההיקפית שנשענת עליו היא זווית ישרה . מכאן נובע שגם זווית DMC היא ישרה , 
במשולש ADC ,הקטע DM הוא גובה לAC , והוא גם תיכון לפי נתון , ולכן המשולש הוא שווה שוקיים  כלמור AD=DC , אבל DC הוא קוטר ולכן גם AC שווה לקוטר",4,4.06
,הוכח כי סכום זוויות במחומש הוא 540°,ראה סרטוט,1,1.04
,הוכיחו כי במלבן האלכסונים שווים זה לזה,"המשולש KHI משולש ישר זווית (הזווית KHI שווה ל90 כי היא זווית במלבן) 
על פי פיתאגורס KI^2 = KH^2 + HI^2 
---
המושלש HIJ משולש שווה זווית (הזווית HIJ שווה ל 90 כי היא זווית במלבן)
על פי פיתאגורס HI^2 + IJ^2 = HJ^2 
----
מתקיים KH שווה ל IJ בגלל שני צלעות נגדיות שוות במלבן ולכן 
על פי שתי המשוואות 
HI שווה KI
",4,"4.05, 4.06, 4.08"
,מהן תכונותיו של המלבן?,"זוויות של 90 מעלות (כל שני צלעות סמוכים מאונכים
כל שני צלעות מנוגדים מקבלים ושווים 
אלכסונים שווים וחצות זה לזה",2,"2.01, 2.02, 2.06, 2.08"
,הוכיחו שאם במרובע האלכסונים חוצים זה את זה אז המרובע הוא מקבילית.,"אם האלכסונים חוצים זה את זה אז נוצר לנו שתי זוגות של משולשים דומים זאת אומרת שיש זוויות שוות בין כל שני משולשים דומים וזאת אותם תכונות של זוויות מתחלפות של שני קווים מקבילים הנחתכים על ידי ישר.
לכן יש לנו צלעות מקבילות ולכן המרובע שאלכסונו חוצים הוא מקבילית",4,"4.05, 4.06, 4.08"
,"במערכת גיאומטרית חדשה מוגדר קו ישר כמעגל.
האם ניתן להגדיר משולש במערכת זו? אם כן, כיצד? אם לא, מדוע?
",שלוש מעגלים,1,1.04
,"""שתי הצורות הנתונות הן מקביליות לאורך כל גרירה"".
האם הטענה נכונה? הסבירו.
",כן כי תמיד הצלעות הנגדיות שוות,3,"3.03, 3.04"
,מהן תכונותיו של המלבן? מנו תכונות רבות ככל האפשר.,"המלבן הוא מרבוע שבו כל שני צלעות מקבילות שוות 
יש בו זווית 90 ( מספיק זוווית אחת) ואז השאר כולן 90
האלכסונים נחתכים ושווים ",3,3.02
,"""גוף יכול להיות גם מנסרה וגם תיבה בו זמנית"". האם טענה זו נכונה? נמק את דעתך.",כן כי לכל גוף יש תכונות של מנסרה ותיבה,1,1.04
,מהן תכונותיו של המלבן?,"צלעות נגדיות מקביליות ושוות, עם זוויות ישרות",2,"2.01, 2.02, 2.06, 2.08"
,המעוין הוא דלתון מיוחד. האם טענה זו נכונה? נמקו את קביעתכם.,לא מכירה את המושגים האלה,1,1.04
,מהן תכונותיו של המלבן?,"1- הצלעות הנגדיות של המלבן שוות באורכן, ומקבילות זו לזו.
2- כל זוויותיו של המלבן שוות (90).",2,"2.01, 2.08"
,"נתונים של משולשים ABC ו-A'B'C' כמתואר בציור. האם על פי הנתונים, ניתן לקבוע אם המשולשים חופפים ביניהם? אם כן, הוכיחו. אם לא- נמקו מדוע.","ניתן לקבוע שהמשולשים חופפים .  ∠A'C'B'=180-80-70=30 ולכן שווה לזווית CAB
A'C'=CA=12' ו C'B'=AB=14 '  לכן לפי צ.ז.צ המשולשים A'C'B'≅CAB ",4,"4.06, 4.08"
,מהן תכונותיו של המלבן?,"אלכסונים שווים זה לזה, צלעות נגדיות שוות זו לזו",2,"2.01, 2.06, 2.08"
,מהן תכונותיו של המלבן? מנו תכונות רבות ככל האפשר.,"1. זווית שוות 90 
2. כל שני צלעים מקביליות אחד לשני שוות 
3. אלכסונים שווים ",2,"2.01, 2.08"
,"לפניך מוצגים שני אלכסונים של מרובע, אך הצורה עצמה מוסתרת.
באמצעות גרירת הקודקודים, בחן את התנהגות האלכסונים וענה על השאלות הבאות:
האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך? הוכח את טענתך.
אם אינך יכול לקבוע את סוג המרובע באופן חד-משמעי, פרט אילו נתונים נוספים נדרשים כדי לזהות את הצורה במדויק?
",התיכונים מתחלקים לשני קטעים שווים זו תכונה של מקבילית נכון אבל אני צריכה עוד נתון כדי לזהות הצורה הנכונה - לדוגמה או ששני צלעות מקבליות שוות או זוויות מתחלפות שוות - תכונה דרכה אוכל לזהות מקביליות .,2,"2.01, 2.07, 2.08, 2.14"
,"בגיאומטריה אחרת, השונה מהגיאומטריה האוקלידית, מישור פרויקטיבי הוא מישור המקיים את 5 האקסיומות הבאות:
1. יש לפחות ישר אחד.
2. דרך כל שתי נקודות שונות עובר ישר יחיד.
3. כל שני ישרים נחתכים לפחות בנקודה אחת.
4. על כל ישר יש לפחות 3 נקודות שונות.
5. אין ישר אשר כל נקודות נמצאות עליו.


האם בגיאומטריה הזו סכום הזוויות במשולש הוא 180°? נמקו את תשובתכם.
",כן סכום הזוויות הוא 180,1,1.04
,הוכח כי סכום זוויות במחומש הוא 540°,"בכל מחומש סכום הזוויות הפנימיות הוא 540 כי אפשר לחלק אותו לשלושה משולשים כל משולש שווה ל 180 
והמחומש נותן 3 משולשים אז 3*180= 540",4,"4.06, 4.08"
,"במערכת גיאומטרית נתונה האקסיומה: 
""שני קווים מקבילים אם ורק אם הם נחתכים בנקודה אחת בלבד"".
שרטטו מקבילית אפשרית על פי המערכת הגיאומטרית הנתונה.
",השני קווים יהיהו כמו צורת אקס X,3,3.22
,"לפניך מוצגים שני אלכסונים של מרובע, אך הצורה עצמה מוסתרת.
באמצעות גרירת הקודקודים, בחן את התנהגות האלכסונים וענה על השאלות הבאות:
האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך?
אם אינך יכול לקבוע את סוג המרובע באופן חד-משמעי, פרט אילו נתונים נוספים נדרשים כדי לזהות את הצורה במדויק?
","האלכסון הראשון חוצה האלכסון השני 
והאלכסון השני חוצה האלכסון הראשון 
ולכן המרובע הוא מקבילית 
",3,"3.03, 3.04"
,אילו תכונות משותפות למלבן וריבוע?,"זוויות 90
האלכסונים נחתכים ושווים 
מקביליות כל שני צלעות מקבילים",2,2.11
,שתי הצורות הנתונות הן מקביליות לאורך כל גרירה. האם הטענה נכונה? הסבירו.,"אולי, אבל לא בטוח",1,1.04
,"נגדיר: ""ישר"" על פני כדור הוא מעגל שמרכזו במרכז הכדור. כמה ""ישרים"" עוברים דרך כל שתי נקודות על פני הכדור? הסבירו.","אינסוף 
דרך כל שתי נקודות על פני כדור עובר בדיוק מעגל גדול אחד, אלא אם הן הפוכות",5,"5.02, 5.12"
,הוכיחו שאם במרובע האלכסונים חוצים זה את זה אז המרובע הוא מקבילית.,אם האלכסונים חוצים זה את זה במרובע אז יוצא לני שני משולשים דומים ולפי זה יהי לנו מקביליות,3,"3.02, 3.03, 3.06, 3.10"
,"""גוף יכול להיות גם מנסרה וגם תיבה בו זמנית"". האם טענה זו נכונה? נמק את דעתך.","טענה נכונה , תיבה היא סוג של מנסרה ומנסרה היא גוף שיש לו שני בסיסים זהים והצלעות הצדדיות שלו הן ישרות . 
ואם הבסיס במנסרה הוא מלבניי אז ניתן גם להיות תיבה .",3,"3.02, 3.18"
,"נגדיר: ""ישר"" על פני כדור הוא מעגל שמרכזו במרכז הכדור. כמה ""ישרים"" עוברים דרך כל שתי נקודות על פני הכדור? הסבירו. ","ישר אחד , בין כל שתי נקודות על פני הכדור יעבור מעגל אחד בלבד מרכזו במרכז הכדור והוא נחשב ישר",5,"5.02, 5.12"
,"""שתי הצורות הנתונות הן מקביליות לאורך כל גרירה"".
האם הטענה נכונה? הסבירו.
","נכון 
בצורה הראשונה כל שתי צלעות נגדיות מקבילות ושוות לפי ערך הזוויות 
בצורה הראשונה שכל שתי צלעות נגדיות שוות וכל שתי זוויות מקבילות שוות ובפרט שוות ל 90 
כל מלבן הוא מקבילית 
",3,"3.02, 3.18"
,הוכיחו שאם במרובע האלכסונים חוצים זה את זה אז המרובע הוא מקבילית.,אחד תכונות שמרובע יהיה מקבילית צריך שהאלכסונים יהיו חוצים זה לזה,2,"2.01, 2.07, 2.08"
,"נגדיר: ""ישר"" על פני כדור הוא מעגל שמרכזו במרכז הכדור. כמה ""ישרים"" עוברים דרך כל שתי נקודות על פני הכדור? הסבירו. ",ישר  אחד כי כל ישר שעובר דרך אותם נקודות הוא אותו ישר,2,2.01
,"לפניך מוצגים שלושה קטעים היוצאים מקודקודי משולש כלשהו (המשולש מוסתר). האם ניתן לדעת בוודאות את סוג הקטעים המיוחדים (תיכון, חוצה זווית או גובה)?","כן, הקטע היחיד שאפשר להיות מחוץ למשולש הוא גובה במשולש קהה זווית 
ולכן על פי הקטעים ניתן לקבוע את סוג הקטע 
",3,"3.02, 3.03, 3.06, 3.07"
,"""גוף יכול להיות גם פאון וגם קוביה בו זמנית"". האם טענה זו נכונה? נמק את דעתך.","לפי דעתי כן 
קובייה היא סוג של פאון בגלל שהיא פאון שבו כל הפאות הן ריבועים שווים, ולכן היא עומדת בכל ההגדרות של פאון.
כל קובייה היא פאון, אבל לא כל פאון הוא קובייה.",3,"3.02, 3.07, 3.18"
,הוכיחו שזוויות הבסיס של טרפז שווה שוקיים שוות זו לזו.,"GI=FH (נתון), הגובה מ F ל HI הוא אותה הגובה גם מ G (ישרים מקבלים) נקבל שני משולשים ישרי זוויות שהם גם חפפים (אפשר להוכיח לפי פיתאגורס או לפי שאולת הגבהים המשולש) מהחפיפה נקבל ש זווית H=I",4,"4.05, 4.06, 4.08"
,"משולש ABC הוא ישר זווית (זווית B ישרה). הנקודה M היא אמצע הצלע AC, והנקודה D נמצאת על הצלע AB. הנקודות B,C,M,D נמצאות על מעגל שמרכזו N. הוכיחו: אורך הקטע AD שווה לקוטר המעגל. ","זוויות m1וm2 הם שווים 90 מעלות כי הן סמוכות על הקוטר
וקטע am שווה ל mc
אז dm הוא גובה במשולש שווה שוקים לכן  ad=dc",3,3.10
,"במערכת גיאומטרית חדשה אנו מגדירים את היחסים בין נקודות כך:
1. דרך שתי נקודות עובר אינסוף קווים.
2. קו מוגדר כמעגל שנסגר על עצמו.
האם מערכת זו עקבית (כלומר, ללא סתירה פנימית בהגדרות)? נמק את תשובתך.","לא, משתי נקודות אפשר להעביר אין סוף מעגלים",3,3.22
,גוף יכול להיות גם מנסרה וגם תיבה בו זמנית. האם טענה זו נכונה? נמק את דעתך.,לא יודעת מה זה מנסרה,1,1.04
,"""גוף יכול להיות גם פאון וגם קוביה בו זמנית"". האם טענה זו נכונה? נמק את דעתך.","כן, כי קוביה היא תמיד גם פאון כי מורכבת מפאות",3,"3.02, 3.03, 3.07, 3.18"
,הוכיחו כי במשולש קהה זווית לא יתכן שהגובה לצלע שיוצרת זווית קהה יהיה בתוך המשולש.,"במשולש ישר זווית שתי הזוויות חדות , גובה יווצר משולש ישר זווית ולא יתכן שיש שיש זווית קהה ולכן לא בתוך המשושל",3,"3.02, 3.03, 3.06, 3.10"
,"במערכת גיאומטרית נתונה האקסיומה: 
""שני קווים מקבילים אם ורק אם הם נחתכים בנקודה אחת בלבד"".
שרטטו מקבילית אפשרית על פי המערכת הגיאומטרית הנתונה.
",שעון חול,3,3.22
,מהן תכונותיו של המלבן?,"כל שתי צלעות נגדיות מקבילות ושוות 
כל הזוויות שלו הם 90 דרגות 
שני האלכסונים שווים 
האלכסונים חוצים זה את זה
",2,"2.01, 2.08"
,"לפניך מוצגים שני אלכסונים של מרובע, אך הצורה עצמה מוסתרת.
באמצעות גרירת הקודקודים, בחן את התנהגות האלכסונים וענה על השאלות הבאות:
האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך?
אם אינך יכול לקבוע את סוג המרובע באופן חד-משמעי, פרט אילו נתונים נוספים נדרשים כדי לזהות את הצורה במדויק?","לא אי אפשר לקבוע סוג המרובע
כדי לדעת צריך שיהיה לי הפרטים הבאים:
האם האלכסונים מאונכים?
האם כל הצלעות שוות באורך?
האם כל הזוויות במרובע ישרות?",2,"2.01, 2.08"
,מהן תכונותיו של המלבן?,יש לו צורה של מלבן,1,1.04
,"במערכת גיאומטרית חדשה מוגדר קו ישר כמעגל.
האם ניתן להגדיר משולש במערכת זו? אם כן, כיצד? אם לא, מדוע?
",אפשר בגיאומטירה הזאת ליצור אבל בטח לא המשולשים שבגיאומטריה שיודעים אותה שמורכב משלושה צלעות כי פה הישר עצמו שונה והוא מעגל ולא ישר - צלע,5,"5.02, 5.12"
,הוכח כי סכום זוויות במחומש הוא 540°,לחלק אותו למשולש ו מרובע,2,"2.01, 2.08"
,"לפניך מוצגים שני אלכסונים של מרובע, אך הצורה עצמה מוסתרת.
באמצעות גרירת הקודקודים, בחן את התנהגות האלכסונים וענה על השאלות הבאות:
האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך?
אם אינך יכול לקבוע את סוג המרובע באופן חד-משמעי, פרט אילו נתונים נוספים נדרשים כדי לזהות את הצורה במדויק?
",מקבילית כי אלכסונים נחתכים באמצע,3,3.04
,הוכיחו כי במלבן האלכסונים שווים זה לזה,נוכיח דרך חפיפת משולשים יש צלע וזוית ועוד צלע ששוות בשני משולשים ואז נוביע מחפפית משולשים שהאלכסונים שווה זה לזה,3,3.10
,"נגדיר: ""ישר"" על פני כדור הוא מעגל שמרכזו במרכז הכדור. כמה ""ישרים"" עוברים דרך כל שתי נקודות על פני הכדור? הסבירו. ",איסוף ישרים,1,1.04
,האם ניתן לקבוע סוג המשולש על סמך 2 או 3 קטעים? נמקו.,"כן, זה תלוי איפה הגבהים נחתכים.
אם בקדקוד המשולש אז הוא ישר זווית
אם בתוך המשולש אז חד זווית.
אם לא נחתכים אז קהה זווית",3,"3.02, 3.03, 3.06, 3.10"
,האם ניתן לקבוע סוג המשולש על סמך 2 או 3 קטעים? נמקו.,אם הקטעים נחתכים בקדקוד המשולש אז הוא ישר זוית. אם לא נחתכים בכלל אז קהה זוית. אם נחתכים בתוך המשולש אז חד זוית,3,"3.02, 3.03, 3.06, 3.07"
,"לפניך מוצגים שני אלכסונים של מרובע, אך הצורה עצמה מוסתרת.
באמצעות גרירת הקודקודים, בחן את התנהגות האלכסונים וענה על השאלות הבאות:
האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך?
אם אינך יכול לקבוע את סוג המרובע באופן חד-משמעי, פרט אילו נתונים נוספים נדרשים כדי לזהות את הצורה במדויק?","מקבילית, כי שני האלכסונים חוצים זה את זה.",3,"3.03, 3.04"
,"גאומטריה ספֵירִית היא סוג של גאומטריה לא אוקלידית, העוסקת בתכונות של ישרים על ספירה, כלומר מעטפת של כדור. בגאומטריה הספירית הקווים הישרים הם ""מעגלים גדולים"" - כאלה שרדיוסם שווה לרדיוס הכדור.
האם בגיאומטריה הזו סכום הזוויות במשולש הוא 180°? נמקו את תשובתכם.","סכום הזוויות במשושל גדול מ180 , ,",1,1.04
,מהן תכונותיו של המלבן?,הוא ישר ונחמד כזה,1,1.04
,הוכיחו כי במלבן האלכסונים שווים זה לזה,"במלבן כל הזוויות ישרות 90 
כל שני צלעות מקבלות שוות 
נוצר שני משולשים מהאלכסונים ושני המשולשים חופפים לפי צלע זווית צלע ",4,"4.05, 4.06"
