id,question,answer,final_decision,final_indicators
,"במערכת גיאומטרית חדשה אנו מגדירים את היחסים בין נקודות כך:
1. דרך שתי נקודות עוברים אינסוף קווים.
2. קו מוגדר כמעגל שנסגר על עצמו.
האם מערכת זו עקבית (כלומר, ללא סתירה פנימית בהגדרות)? נמק את תשובתך.
","הקווים הם המעגלים שעוברים אינסוף פעמים... 
אני מדמיינת כדור שהנקודה הגבוה והנמוכה בו עוברים דרכם אינסוף קווים המוגדרים כמעגלים...",5,"5.02, 5.12"
,"נתונים של משולשים ABC ו-A'B'C' כמתואר בציור. האם על פי הנתונים, ניתן לקבוע אם המשולשים חופפים ביניהם? אם כן, הוכיחו. אם לא- נמקו מדוע.","יש להם שתי צלעות השוות בגודלן: 'AC=C'A' AB=C'B
 והזווית שביניהן גם שווה..
על פי צ.ז.צ",3,3.10
,"""גוף יכול להיות גם פאון וגם קוביה בו זמנית"". האם טענה זו נכונה? נמק את דעתך.",קוביה היא סוג של פאון,3,"3.02, 3.07, 3.18"
,"""שתי הצורות הנתונות הן מקביליות לאורך כל גרירה"".
האם הטענה נכונה? הסבירו.","כן הטענה נכונה, ניתן לראות שאחרי כל פעולת גרירה מקבלים שכל שתי צלעות מקבילות שוות זה לזה",3,3.04
,"הורדת שני גבהים מקדקדי הבסיס הקצר של הטרפז. נוצרים שני משולשים ישרי זווית ומלבן (כי יש לו שני זוגות של צלעות מקבילות + זווית ישרה). חופפים את שני המשולשים ישרי הזווית לפי משפטי חפיפה של משולשים ישרי זווית (שני משולשים ישרי זווית השווים בניצב וביתר, חופפים ביניהם). לכן זויות הבסיס שוות, כזוויות מתאימות במשולשים חופפים.","הורדת שני גבהים לטרפס נוצר שני מושלשים ישר זווית שבהם היתר והניצב (הגבהים) שווים בהתאם לכל משולש, אז המשולשים חופפים ויצא מכך שזוויות השוקיים ישרות",4,"4.05, 4.06, 4.08"
,"""שתי הצורות הנתונות הן מקביליות לאורך כל גרירה"".
האם הטענה נכונה? הסבירו.","כן, גררתי וראיתי שהן מקביליות",1,1.08
,"לפניך מוצגים שני אלכסונים של מרובע, אך הצורה עצמה מוסתרת.
באמצעות גרירת הקודקודים, בחן את התנהגות האלכסונים וענה על השאלות הבאות:
האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך?
אם אינך יכול לקבוע את סוג המרובע באופן חד-משמעי, פרט אילו נתונים נוספים נדרשים כדי לזהות את הצורה במדויק?",המרובע מקבילית,1,1.04
,"בגיאומטריה אחרת, השונה מהגיאומטריה האוקלידית, מישור פרויקטיבי הוא מישור המקיים את 5 האקסיומות הבאות:
1. יש לפחות ישר אחד.
2. דרך כל שתי נקודות שונות עובר ישר יחיד.
3. כל שני ישרים נחתכים לפחות בנקודה אחת.
4. על כל ישר יש לפחות 3 נקודות שונות.
5. אין ישר אשר כל נקודות נמצאות עליו.


האם בגיאומטריה הזו סכום הזוויות במשולש הוא 180°? נמקו את תשובתכם.
",לא הגיאומטריה לא מתאימה לגיאמטריה הרגילה,1,1.04
,"""גוף יכול להיות גם מנסרה וגם תיבה בו זמנית"". האם טענה זו נכונה? נמק את דעתך.",כן כי תיבה היא גם מנסרה,3,"3.02, 3.03, 3.07, 3.18, 3.21"
,"לפניך מוצגים שני אלכסונים של מרובע, אך הצורה עצמה מוסתרת.
באמצעות גרירת הקודקודים, בחן את התנהגות האלכסונים וענה על השאלות הבאות:
האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך? הוכח את טענתך.
אם אינך יכול לקבוע את סוג המרובע באופן חד-משמעי, פרט אילו נתונים נוספים נדרשים כדי לזהות את הצורה במדויק?
","האלכסונים חוצים זה את זה, זו תכונה של מקבילית .  ניתן ליצור מלבן אם האלכסונים שווים , מעוין אם הם מאונכים ",3,"3.02, 3.03, 3.04, 3.06, 3.07"
,"""שתי הצורות הנתונות הן מקביליות לאורך כל גרירה"".
האם הטענה נכונה? הסבירו.",כן וזה בגלל שאחד הוא מקבילית והשני מלבן,3,"3.07, 3.18"
,"נגדיר: ""ישר"" על פני כדור הוא מעגל שמרכזו במרכז הכדור. כמה ""ישרים"" עוברים דרך כל שתי נקודות על פני הכדור? הסבירו. ",יש אינסוף ישרים כי לבין מרכז המעגל ופני הכדור יש מלא נקודות,2,2.01
,"האם אפשר לגרור את קודקודי הצורות כך שכל צורה תהיה ריבוע? אם כן גררו אותם, והסבירו מה חיפשתם בכל צורה כדי להגיע לריבוע. אם לא, הסבירו למה.","לא, לאחרי הגרירה הצורות מראות מעויין ולא ריבוע, מכיוון שבריבוע חייבות להיות זוויות ישרות. כדי להפוך את הצורה לריבוע, יש לוודא שכל הזוויות יהיו שוות (90)",2,"2.01, 2.07, 2.08"
,אילו תכונות משותפות למלבן וריבוע?,"זוגות של צלעות מקביליות ושוות 
זוויות פנימיות שוות 90
האלכסונים חותכים אחד את השני ויוצרים חלקים שווים",2,"2.01, 2.02, 2.11"
,"נתונים של משולשים ABC ו-A'B'C' כמתואר בציור. האם על פי הנתונים, ניתן לקבוע אם המשולשים חופפים ביניהם? אם כן, הוכיחו. אם לא- נמקו מדוע.","התשובה כן 
AC שווה ל A'C'
וגם AB שווה A'B'
והזווית A'C'B' שווה ל (180 - 80 - 70) שווה ל 30 שהיא שווה לזווית CAB 
ולכן על פי (צלע, זווית, צלע) המשולשים חופפים אחד לשני 
",4,"4.06, 4.08"
,"האם אפשר לגרור את קודקודי הצורות כך שכל צורה תהיה ריבוע? אם כן גררו אותם, והסבירו מה חיפשתם בכל צורה כדי להגיע לריבוע. אם לא, הסבירו למה.","כן אפשר, גררתי את הצורות וקבלתי ריבוע.",1,1.08
,האם ניתן לקבוע סוג המשולש על סמך 2 או 3 קטעים? נמקו.,"כן, תלוי היכן והאם הם נפגשים (בתוך המשולש, בקדקוד שלו, או בכלל לא)",3,"3.02, 3.10"
,האם ניתן לקבוע סוג המשולש על סמך 2 או 3 קטעים? נמקו.,"כן אפשר לקבוע על פי 2 קטעים או 3 קטעים, אם נפגשים בקצה משולש ישר זווית אם לא נפגשים משולש קהה זווית אם נפגשים משולש חד זוויות",3,"3.02, 3.03, 3.06"
,"בגיאומטריה אחרת, השונה מהגיאומטריה האוקלידית, מישור פרויקטיבי הוא מישור המקיים את 5 האקסיומות הבאות:
1. יש לפחות ישר אחד.
2. דרך כל שתי נקודות שונות עובר ישר יחיד.
3. כל שני ישרים נחתכים לפחות בנקודה אחת.
4. על כל ישר יש לפחות 3 נקודות שונות.
5. אין ישר אשר כל נקודות נמצאות עליו.


האם בגיאומטריה הזו סכום הזוויות במשולש הוא 180°? נמקו את תשובתכם.
","כן 
 יש לפחות ישר אחד. 2. דרך כל שתי נקודות שונות עובר ישר יחיד. 3. כל שני ישרים נחתכים לפחות בנקודה אחת. ",1,1.04
,האם כל מקבילית היא ריבוע? האם כל ריבוע הוא מקבילית? נמקו,"כל ריבוע הוא מקבילית כי מקיים כל התכונות של המקבילית
כל שתי צלעות נגדיות שוות 
כל שתי זוויות מקבילות הן שוות ובפרט שוות ל 90 דרגות 
אך לא כל מקבילית הוא מרובע כי לא בהכרח כל זוויות המקבילית שוות ל 90 וגם כל הצלעות שלו שוות",3,"3.02, 3.03, 3.07, 3.18"
,כתבו לפחות 3 תכונות שקיימות במעויין.,"המעויין הוא ריבוע - שבו כל הצלעות שוות 
גם כן האלכסוניםמאונכים
האלכסונים גם חוצים אחד השני לשני קטעים שווים ",2,"2.01, 2.06, 2.08"
,המעוין הוא דלתון מיוחד. האם טענה זו נכונה? נמקו את קביעתכם.,לא יודעת איך להסביר את זה,1,1.04
,"גאומטריה ספֵירִית היא סוג של גאומטריה לא אוקלידית, העוסקת בתכונות של ישרים על ספירה, כלומר מעטפת של כדור. בגאומטריה הספירית הקווים הישרים הם ""מעגלים גדולים"" - כאלה שרדיוסם שווה לרדיוס הכדור.
האם בגיאומטריה הזו סכום הזוויות במשולש הוא 180°? נמקו את תשובתכם.",לא כי המשלולש בגיומטריה החדשה הוא 3 מעגלים,5,"5.02, 5.12"
,הוכיחו שאם במרובע האלכסונים חוצים זה את זה אז המרובע הוא מקבילית.,"כן, יש לנו שני זוגות של משולשים מנוגדים חופפים, נקבל זוויות זוויות חלופיות, נקבל שכל שני צלעות מנוגדים שווים ו מקבילים----> מרובע הוא מקבילית",4,"4.05, 4.06"
,"""גוף יכול להיות גם פאון וגם קוביה בו זמנית"". האם טענה זו נכונה? נמק את דעתך.",כן כי כל קוביה היא גם פאון,3,"3.02, 3.18"
,"ביישומון שלפניך מוצגות שתי צורות.
אילו תכונות משותפות קיימות לשתי הצורות הנתונות (תכונות הנשמרות לאורך כל גרירה)?
","כל שני צלעות מקבילות (הצלע והצלע שמולה) 
כל שני צלעות מקבילות שוות ",2,"2.02, 2.11"
,"משולש ABC הוא ישר זווית (זווית B ישרה). הנקודה M היא אמצע הצלע AC, והנקודה D נמצאת על הצלע AB. הנקודות B,C,M,D נמצאות על מעגל שמרכזו N. הוכיחו: אורך הקטע AD שווה לקוטר המעגל.","נתון ש DM חוצה AC וגם לפי תכונה של מעגל נקבל ש B + M = 180 נקבל ש DMC=90, קבלנו ש DM גם גובה וגם חוצה וזה מתקיים במשולש שווה שוקיים, לכן AC שהוא שווה ל DC שהוא קוטר",4,4.06
,אילו תכונות יש למשולש שווה שוקיים.,למשולש זה 2 צלעות שוות. חוצה הזווית שבין בצלעות השוות הוא גם אנך וגם תיכון. חוצה הצלעות השוות הוא מקביל לצלע שמולו ושווה לחצי.,2,"2.01, 2.06, 2.08"
,"משולש ABC הוא ישר זווית (זווית B ישרה). הנקודה M היא אמצע הצלע AC, והנקודה D נמצאת על הצלע AB. הנקודות B,C,M,D נמצאות על מעגל שמרכזו N. הוכיחו: אורך הקטע AD שווה לקוטר המעגל. ","DC הוא קוטר , כי הזווית ההיקפית שנשענת עליו היא זווית ישרה . מכאן נובע שגם זווית DMC היא ישרה , 
במשולש ADC ,הקטע DM הוא גובה לAC , והוא גם תיכון לפי נתון , ולכן המשולש הוא שווה שוקיים  כלמור AD=DC , אבל DC הוא קוטר ולכן גם AC שווה לקוטר",4,4.06
,הוכח כי סכום זוויות במחומש הוא 540°,ראה סרטוט,1,1.04
,הוכיחו כי במלבן האלכסונים שווים זה לזה,"המשולש KHI משולש ישר זווית (הזווית KHI שווה ל90 כי היא זווית במלבן) 
על פי פיתאגורס KI^2 = KH^2 + HI^2 
---
המושלש HIJ משולש שווה זווית (הזווית HIJ שווה ל 90 כי היא זווית במלבן)
על פי פיתאגורס HI^2 + IJ^2 = HJ^2 
----
מתקיים KH שווה ל IJ בגלל שני צלעות נגדיות שוות במלבן ולכן 
על פי שתי המשוואות 
HI שווה KI
",4,"4.05, 4.06, 4.08"
,"משולש ABC הוא ישר זווית (זווית B ישרה). הנקודה M היא אמצע הצלע AC, והנקודה D נמצאת על הצלע AB. הנקודות B,C,M,D נמצאות על מעגל שמרכזו N. הוכיחו: אורך הקטע AD שווה לקוטר המעגל. ","הזווית cdm=90זוויות היקפית על הקוטר לכן יוצא ש במשולש adc 
mc=am(נתון)
dm גובה ותיכון לצלע ac  לכן המשולש שווה שוקים ואז dc=ad",4,"4.05, 4.06"
,הוכיחו שאם במרובע האלכסונים חוצים זה את זה אז המרובע הוא מקבילית.,"אם האלכסונים חוצים זה את זה אז נוצר לנו שתי זוגות של משולשים דומים זאת אומרת שיש זוויות שוות בין כל שני משולשים דומים וזאת אותם תכונות של זוויות מתחלפות של שני קווים מקבילים הנחתכים על ידי ישר.
לכן יש לנו צלעות מקבילות ולכן המרובע שאלכסונו חוצים הוא מקבילית",4,"4.05, 4.06, 4.08"
,"""גוף יכול להיות גם פאון וגם קוביה בו זמנית"". האם טענה זו נכונה? נמק את דעתך.","נכון, קובייה היא פאון",3,"3.02, 3.07, 3.18"
,"בגיאומטריה אחרת, השונה מהגיאומטריה האוקלידית, מישור פרויקטיבי הוא מישור המקיים את 5 האקסיומות הבאות:
1. יש לפחות ישר אחד.
2. דרך כל שתי נקודות שונות עובר ישר יחיד.
3. כל שני ישרים נחתכים לפחות בנקודה אחת.
4. על כל ישר יש לפחות 3 נקודות שונות.
5. אין ישר אשר כל נקודות נמצאות עליו.


האם בגיאומטריה הזו סכום הזוויות במשולש הוא 180°? נמקו את תשובתכם.","כן, אפשר לקבל שלושת ישרים שכל שניים נחתכים, ועל כל ישר יש 3 נקודות",2,"2.01, 2.08"
,"במערכת גיאומטרית חדשה מוגדר קו ישר כמעגל.
האם ניתן להגדיר משולש במערכת זו? אם כן, כיצד? אם לא, מדוע?
",שלוש מעגלים,1,1.04
,"לפניך מוצגים שלושה קטעים היוצאים מקודקודי משולש כלשהו (המשולש מוסתר). האם ניתן לדעת בוודאות את סוג הקטעים המיוחדים (תיכון, חוצה זווית או גובה)?","כן, גבהיים, אם ידוע שהם קטעים מיוחדים במשולש (חוצה זווית, תיכון או גובהה) רק הגבהים ההמשך שלהם נפגשים בנקודה אחת במשולש קהה זווית, לעומת חוצה זווית ותיכונים הקטעים תמיד נפגשים לכל סוג משולש",3,"3.02, 3.03, 3.06, 3.16"
,"האם אפשר לגרור את קודקודי הצורות כך שכל צורה תהיה ריבוע? אם כן גררו אותם, והסבירו מה חיפשתם בכל צורה כדי להגיע לריבוע. אם לא, הסבירו למה.","בצורה הראשונה לא הצלחתי לשנות את זוויות הצורה והם לא שווים 90 דרגות ולכן לא ניתן להפוך הצורה הראשונה לריבוע 
בצורה השנייה בדקתי את הזוויות כל אחת מהן שוות ל 90 דרגות ולכן שניתי אורך הקטעים כך שכולם יהיו שווים ל 4.2 ס""מ 
וכך קיבלנו צורה של ריבוע כל 4 הצלעות שוות וכל הזוויות שלו שוות ל 90 דרגות",2,"2.01, 2.08"
,"""שתי הצורות הנתונות הן מקביליות לאורך כל גרירה"".
האם הטענה נכונה? הסבירו.","כן, יש שני זוגות מנוגדות שוות בשני הצורות",2,"2.01, 2.02, 2.08, 2.11"
,"""גוף יכול להיות גם מנסרה וגם תיבה בו זמנית"". האם טענה זו נכונה? נמק את דעתך.",כן כי לכל גוף יש תכונות של מנסרה ותיבה,1,1.04
,מהן תכונותיו של המלבן?,"צלעות נגדיות מקביליות ושוות, עם זוויות ישרות",2,"2.01, 2.02, 2.06, 2.08"
,המעוין הוא דלתון מיוחד. האם טענה זו נכונה? נמקו את קביעתכם.,לא מכירה את המושגים האלה,1,1.04
,מהן תכונותיו של המלבן?,"1- הצלעות הנגדיות של המלבן שוות באורכן, ומקבילות זו לזו.
2- כל זוויותיו של המלבן שוות (90).",2,"2.01, 2.08"
,"נתונים של משולשים ABC ו-A'B'C' כמתואר בציור. האם על פי הנתונים, ניתן לקבוע אם המשולשים חופפים ביניהם? אם כן, הוכיחו. אם לא- נמקו מדוע.","ניתן לקבוע שהמשולשים חופפים .  ∠A'C'B'=180-80-70=30 ולכן שווה לזווית CAB
A'C'=CA=12' ו C'B'=AB=14 '  לכן לפי צ.ז.צ המשולשים A'C'B'≅CAB ",4,"4.06, 4.08"
,מהן תכונותיו של המלבן? מנו תכונות רבות ככל האפשר.,"1. זווית שוות 90 
2. כל שני צלעים מקביליות אחד לשני שוות 
3. אלכסונים שווים ",2,"2.01, 2.08"
,"לפניך מוצגים שני אלכסונים של מרובע, אך הצורה עצמה מוסתרת.
באמצעות גרירת הקודקודים, בחן את התנהגות האלכסונים וענה על השאלות הבאות:
האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך? הוכח את טענתך.
אם אינך יכול לקבוע את סוג המרובע באופן חד-משמעי, פרט אילו נתונים נוספים נדרשים כדי לזהות את הצורה במדויק?
",התיכונים מתחלקים לשני קטעים שווים זו תכונה של מקבילית נכון אבל אני צריכה עוד נתון כדי לזהות הצורה הנכונה - לדוגמה או ששני צלעות מקבליות שוות או זוויות מתחלפות שוות - תכונה דרכה אוכל לזהות מקביליות .,2,"2.01, 2.07, 2.08, 2.14"
,הוכיחו שאלכסוני הדלתון ניצבים זה לזה.,"המשולשים ADC ו ABC חופפים, ע""י צ,צ,צ.
מזה נובע ש AC הוא חוצה זווית. 
לכן המשולשים AOD ו AOB חופפים באמצעות צ,ז,צ.
לכן ניתן להסיק ש AO מאונך במשולש שווה שוקיים ABD לכן הוא גם גובהה.",4,"4.06, 4.08"
,הוכח כי סכום זוויות במחומש הוא 540°,"בכל מחומש סכום הזוויות הפנימיות הוא 540 כי אפשר לחלק אותו לשלושה משולשים כל משולש שווה ל 180 
והמחומש נותן 3 משולשים אז 3*180= 540",4,"4.06, 4.08"
,"במערכת גיאומטרית נתונה האקסיומה: 
""שני קווים מקבילים אם ורק אם הם נחתכים בנקודה אחת בלבד"".
שרטטו מקבילית אפשרית על פי המערכת הגיאומטרית הנתונה.
",השני קווים יהיהו כמו צורת אקס X,3,3.22
,האם כל מקבילית היא ריבוע? האם כל ריבוע הוא מקבילית? נמקו,"כן, כל ריבוע הוא מקבילית כי הוא מקיים כל תכונות המקבילית",3,"3.02, 3.03, 3.07, 3.18"
,אילו תכונות משותפות למלבן וריבוע?,"זוויות 90
האלכסונים נחתכים ושווים 
מקביליות כל שני צלעות מקבילים",2,2.11
,שתי הצורות הנתונות הן מקביליות לאורך כל גרירה. האם הטענה נכונה? הסבירו.,"אולי, אבל לא בטוח",1,1.04
,האם ניתן לקבוע סוג המשולש על סמך 2 או 3 קטעים? נמקו.,"כן, ניתן לקבטע על סמך 2 קטעים.",1,1.04
,הוכיחו שאם במרובע האלכסונים חוצים זה את זה אז המרובע הוא מקבילית.,אם האלכסונים חוצים זה את זה במרובע אז יוצא לני שני משולשים דומים ולפי זה יהי לנו מקביליות,3,"3.02, 3.03, 3.06, 3.10"
,"""גוף יכול להיות גם מנסרה וגם תיבה בו זמנית"". האם טענה זו נכונה? נמק את דעתך.","טענה נכונה , תיבה היא סוג של מנסרה ומנסרה היא גוף שיש לו שני בסיסים זהים והצלעות הצדדיות שלו הן ישרות . 
ואם הבסיס במנסרה הוא מלבניי אז ניתן גם להיות תיבה .",3,"3.02, 3.18"
,"נגדיר: ""ישר"" על פני כדור הוא מעגל שמרכזו במרכז הכדור. כמה ""ישרים"" עוברים דרך כל שתי נקודות על פני הכדור? הסבירו. ","ישר אחד , בין כל שתי נקודות על פני הכדור יעבור מעגל אחד בלבד מרכזו במרכז הכדור והוא נחשב ישר",5,"5.02, 5.12"
,כאשר c הוא מספר ממשי חיובי קבוע.,"בגיאומטריה ספירית, סכום הזוויות במשולש תמיד גדול מ-180°, בשל התכונות הייחודיות של המעגלים הגדולים והעקמומיות החיובית של המשטח הכדורי",5,"5.02, 5.12"
,"""שתי הצורות הנתונות הן מקביליות לאורך כל גרירה"".
האם הטענה נכונה? הסבירו.
","נכון 
בצורה הראשונה כל שתי צלעות נגדיות מקבילות ושוות לפי ערך הזוויות 
בצורה הראשונה שכל שתי צלעות נגדיות שוות וכל שתי זוויות מקבילות שוות ובפרט שוות ל 90 
כל מלבן הוא מקבילית 
",3,"3.02, 3.18"
,הוכיחו שאם במרובע האלכסונים חוצים זה את זה אז המרובע הוא מקבילית.,אחד תכונות שמרובע יהיה מקבילית צריך שהאלכסונים יהיו חוצים זה לזה,2,"2.01, 2.07, 2.08"
,"לפניך מוצגים שלושה קטעים היוצאים מקודקודי משולש כלשהו (המשולש מוסתר). האם ניתן לדעת בוודאות את סוג הקטעים המיוחדים (תיכון, חוצה זווית או גובה)?","כן, הקטע היחיד שאפשר להיות מחוץ למשולש הוא גובה במשולש קהה זווית 
ולכן על פי הקטעים ניתן לקבוע את סוג הקטע 
",3,"3.02, 3.03, 3.06, 3.07"
,"""גוף יכול להיות גם פאון וגם קוביה בו זמנית"". האם טענה זו נכונה? נמק את דעתך.","לפי דעתי כן 
קובייה היא סוג של פאון בגלל שהיא פאון שבו כל הפאות הן ריבועים שווים, ולכן היא עומדת בכל ההגדרות של פאון.
כל קובייה היא פאון, אבל לא כל פאון הוא קובייה.",3,"3.02, 3.07, 3.18"
,מהן תכונותיו של המלבן?,4 צלעות שוות וארבע זוויות ישרות,2,"2.01, 2.02, 2.06, 2.08"
,הוכיחו שזוויות הבסיס של טרפז שווה שוקיים שוות זו לזו.,"GI=FH (נתון), הגובה מ F ל HI הוא אותה הגובה גם מ G (ישרים מקבלים) נקבל שני משולשים ישרי זוויות שהם גם חפפים (אפשר להוכיח לפי פיתאגורס או לפי שאולת הגבהים המשולש) מהחפיפה נקבל ש זווית H=I",4,"4.05, 4.06, 4.08"
,"משולש ABC הוא ישר זווית (זווית B ישרה). הנקודה M היא אמצע הצלע AC, והנקודה D נמצאת על הצלע AB. הנקודות B,C,M,D נמצאות על מעגל שמרכזו N. הוכיחו: אורך הקטע AD שווה לקוטר המעגל. ","זוויות m1וm2 הם שווים 90 מעלות כי הן סמוכות על הקוטר
וקטע am שווה ל mc
אז dm הוא גובה במשולש שווה שוקים לכן  ad=dc",3,3.10
,"לפניך מוצגים שני אלכסונים של מרובע, אך הצורה עצמה מוסתרת.
באמצעות גרירת הקודקודים, בחן את התנהגות האלכסונים וענה על השאלות הבאות:
האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך? הוכח את טענתך.
אם אינך יכול לקבוע את סוג המרובע באופן חד-משמעי, פרט אילו נתונים נוספים נדרשים כדי לזהות את הצורה במדויק?
",מקבלית כי כל שתי צלעות נגדיות שוות.,3,3.04
,"במערכת גיאומטרית חדשה אנו מגדירים את היחסים בין נקודות כך:
1. דרך שתי נקודות עובר אינסוף קווים.
2. קו מוגדר כמעגל שנסגר על עצמו.
האם מערכת זו עקבית (כלומר, ללא סתירה פנימית בהגדרות)? נמק את תשובתך.","לא, משתי נקודות אפשר להעביר אין סוף מעגלים",3,3.22
,כתבו 2 תכונות שמשותפת לכל הריבועים אך לא משותפת לכל המעויינים. נמקו את בחירתכם.,זווית ישרה ואלכסונים שווים נמצא בכל ריבוע אבל לא בכל מעויין,3,"3.02, 3.06"
,גוף יכול להיות גם מנסרה וגם תיבה בו זמנית. האם טענה זו נכונה? נמק את דעתך.,לא יודעת מה זה מנסרה,1,1.04
,"""גוף יכול להיות גם פאון וגם קוביה בו זמנית"". האם טענה זו נכונה? נמק את דעתך.","כן, כי קוביה היא תמיד גם פאון כי מורכבת מפאות",3,"3.02, 3.03, 3.07, 3.18"
,הוכיחו כי במשולש קהה זווית לא יתכן שהגובה לצלע שיוצרת זווית קהה יהיה בתוך המשולש.,"במשולש ישר זווית שתי הזוויות חדות , גובה יווצר משולש ישר זווית ולא יתכן שיש שיש זווית קהה ולכן לא בתוך המשושל",3,"3.02, 3.03, 3.06, 3.10"
,מהן תכונותיו של המלבן?,"כל שתי צלעות נגדיות מקבילות ושוות 
כל הזוויות שלו הם 90 דרגות 
שני האלכסונים שווים 
האלכסונים חוצים זה את זה
",2,"2.01, 2.08"
,"לפניך מוצגים שני אלכסונים של מרובע, אך הצורה עצמה מוסתרת.
באמצעות גרירת הקודקודים, בחן את התנהגות האלכסונים וענה על השאלות הבאות:
האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך?
אם אינך יכול לקבוע את סוג המרובע באופן חד-משמעי, פרט אילו נתונים נוספים נדרשים כדי לזהות את הצורה במדויק?","לא אי אפשר לקבוע סוג המרובע
כדי לדעת צריך שיהיה לי הפרטים הבאים:
האם האלכסונים מאונכים?
האם כל הצלעות שוות באורך?
האם כל הזוויות במרובע ישרות?",2,"2.01, 2.08"
,מהן תכונותיו של המלבן?,יש לו צורה של מלבן,1,1.04
,"נגדיר: ""ישר"" על פני כדור הוא מעגל שמרכזו במרכז הכדור. כמה ""ישרים"" עוברים דרך כל שתי נקודות על פני הכדור? הסבירו.",תלוי אם מדובר בשתי נקודות אנטיפודיות אז יהיו אינסוף ישרים אחרת רק שני ישרים,5,"5.01, 5.02, 5.12"
,"במערכת גיאומטרית חדשה מוגדר קו ישר כמעגל.
האם ניתן להגדיר משולש במערכת זו? אם כן, כיצד? אם לא, מדוע?
",אפשר בגיאומטירה הזאת ליצור אבל בטח לא המשולשים שבגיאומטריה שיודעים אותה שמורכב משלושה צלעות כי פה הישר עצמו שונה והוא מעגל ולא ישר - צלע,5,"5.02, 5.12"
,הוכח כי סכום זוויות במחומש הוא 540°,לחלק אותו למשולש ו מרובע,2,"2.01, 2.08"
,"לפניך מוצגים שני אלכסונים של מרובע, אך הצורה עצמה מוסתרת.
באמצעות גרירת הקודקודים, בחן את התנהגות האלכסונים וענה על השאלות הבאות:
האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך?
אם אינך יכול לקבוע את סוג המרובע באופן חד-משמעי, פרט אילו נתונים נוספים נדרשים כדי לזהות את הצורה במדויק?
",מקבילית כי אלכסונים נחתכים באמצע,3,3.04
,הוכיחו כי במלבן האלכסונים שווים זה לזה,נוכיח דרך חפיפת משולשים יש צלע וזוית ועוד צלע ששוות בשני משולשים ואז נוביע מחפפית משולשים שהאלכסונים שווה זה לזה,3,3.10
,"נגדיר: ""ישר"" על פני כדור הוא מעגל שמרכזו במרכז הכדור. כמה ""ישרים"" עוברים דרך כל שתי נקודות על פני הכדור? הסבירו. ",איסוף ישרים,1,1.04
,"משולש ABC הוא ישר זווית (זווית B ישרה). הנקודה M היא אמצע הצלע AC, והנקודה D נמצאת על הצלע AB. הנקודות B,C,M,D נמצאות על מעגל שמרכזו N. הוכיחו: אורך הקטע AD שווה לקוטר המעגל.","מאחר שזווית DBC היא זווית ישרה הנשענת על הקטע AD, נובע ש־AD הוא קוטר המעגל.",4,"4.05, 4.06"
,האם ניתן לקבוע סוג המשולש על סמך 2 או 3 קטעים? נמקו.,אם הקטעים נחתכים בקדקוד המשולש אז הוא ישר זוית. אם לא נחתכים בכלל אז קהה זוית. אם נחתכים בתוך המשולש אז חד זוית,3,"3.02, 3.03, 3.06, 3.07"
,"משולש ABC הוא ישר זווית (זווית B ישרה). הנקודה M היא אמצע הצלע AC, והנקודה D נמצאת על הצלע AB. הנקודות B,C,M,D נמצאות על מעגל שמרכזו N. הוכיחו: אורך הקטע AD שווה לקוטר המעגל. ",לא יודעת,1,1.04
,"לפניך מוצגים שני אלכסונים של מרובע, אך הצורה עצמה מוסתרת.
באמצעות גרירת הקודקודים, בחן את התנהגות האלכסונים וענה על השאלות הבאות:
האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך?
אם אינך יכול לקבוע את סוג המרובע באופן חד-משמעי, פרט אילו נתונים נוספים נדרשים כדי לזהות את הצורה במדויק?","מקבילית, כי שני האלכסונים חוצים זה את זה.",3,"3.03, 3.04"
,"גאומטריה ספֵירִית היא סוג של גאומטריה לא אוקלידית, העוסקת בתכונות של ישרים על ספירה, כלומר מעטפת של כדור. בגאומטריה הספירית הקווים הישרים הם ""מעגלים גדולים"" - כאלה שרדיוסם שווה לרדיוס הכדור.
האם בגיאומטריה הזו סכום הזוויות במשולש הוא 180°? נמקו את תשובתכם.","סכום הזוויות במשושל גדול מ180 , ,",1,1.04
,מהן תכונותיו של המלבן?,הוא ישר ונחמד כזה,1,1.04
,הוכיחו כי במלבן האלכסונים שווים זה לזה,"במלבן כל הזוויות ישרות 90 
כל שני צלעות מקבלות שוות 
נוצר שני משולשים מהאלכסונים ושני המשולשים חופפים לפי צלע זווית צלע ",4,"4.05, 4.06"
,"האם אפשר לגרור את קודקודי הצורות כך שכל צורה תהיה ריבוע? אם כן גררו אותם, והסבירו מה חיפשתם בכל צורה כדי להגיע לריבוע. אם לא, הסבירו למה.",שכל הזוויות יהיו ישרות והצלעות,2,"2.01, 2.08"
